,per,pbr,roe,revenue_growth
HCC,9.96,1.01,10.51,-58.8
WPG,NA,0.24,-7.15,-38.8
WCN,133.56,4.22,3.15,-4.7
WM,30.49,7.07,24.1,-9.8
WAT,26.88,NA,282.74,-13.2
WSO,38.7,6.39,16.89,-1.2
WTS,32.85,3.83,12.12,-18.7
W,NA,NA,NA,83.7
WBS,9.91,0.86,8.83,-20
WEC,27.02,3.03,11.36,-2.6
WEI,2.33,0.23,-16.73,-50.2
WRI,8.58,1.25,13.83,-20
WMK,13.05,1.19,9.41,23.7
WBT,171.75,4.52,2.78,-51.7
WFC,58.85,0.59,1.76,-14.9
WELL,16.15,1.41,8.17,-10
WCC,17.16,0.76,4.46,-2.9
WST,76.88,13.39,18.73,12.2
WAL,8.81,1.22,14.53,-13.1
WMC,6.88,0.72,-97.62,-41.7
WES,9.24,1.29,12.84,-1.9
WU,15.18,NA,NA,-16.8
WAB,27.9,1.22,4.31,-22.3
WLK,23.43,1.53,6.8,-20.3
WLKP,10.73,2.52,36.54,-11.7
WBK,12.26,0.87,7.3,-13.3
WRK,13.26,0.88,6.62,-9.7
WHG,46,0.74,1.53,-26.9
WEX,52.57,3.34,5.35,-21.1
WY,70.93,2.71,3.63,-3.6
WPM,64.04,4.18,6.73,30.9
WHR,15.46,4.17,21.71,-22.1
WTM,29.39,0.87,1.86,101.2
WSR,12.88,0.79,5.97,-6.9
WLL,NA,0.19,-217.26,-78.5
WOW,20.35,NA,NA,-2.7
WMB,176.55,1.94,-0.4,-12.7
WSM,19.26,5.85,33.47,8.8
WGO,34.15,2.3,7.33,-23.9
WIT,22.92,3.75,17.24,-0.1
WNS,32.95,5.33,18.01,-3.1
WWW,39.47,3.12,7.42,-38.6
WF,462.47,27.84,6.34,-27.7
WK,NA,39.78,-155.07,14.1
INT,11.29,0.82,7.55,-66.6
WWE,24.01,10.77,43.24,-16.9
WOR,3.76,1.85,57.9,-17.9
WPP,14.56,1.32,-27.81,-12.3
WPX,12.8,0.64,-13.36,-50.1
WYND,7.32,NA,NA,-67
WH,28.04,5.3,-3.76,-48.5
XYF,2.82,0.16,-7.35,-52.1
XHR,425,0.7,-6.6,-95.1
XRX,10.5,0.78,8.24,-35.3
XIN,14.29,0.19,-3.34,-53.3
XPEV,NA,31.91,NA,-18.6
XPO,111.51,3.58,4.83,-17.4
XYL,64.63,5.66,8.73,-13.8
AUY,22.04,1.39,6.31,-34.5
YELP,92.18,1.88,-1.61,-31.6
YETI,66.74,26.8,58.38,6.6
YEXT,NA,10.97,-60.97,21.7
YRD,5.14,0.5,12.07,-66
DAO,NA,60.14,NA,93.1
YPF,NA,0.19,-20.97,-16.7
YAC,NA,NA,NA,NA
YUMC,40.72,6.98,16.68,-10.5
YUM,29.88,NA,NA,-8.5
ZEN,NA,31.5,-42.48,26.8
ZBH,867.88,2.62,0.31,-38.3
ZTS,48.36,25.97,59.87,0.1
ZTO,27.83,4.13,14.81,18
ZUO,NA,7.67,-46.59,7.5
ZYME,NA,4.18,-41.88,56.8
